dataset_title,id,image_filename,organ,disease_state,oncotree_code,species,patient,st_technology,data_publication_date,license,study_link,download_page_link1,inter_spot_dist,spot_diameter,spots_under_tissue,preservation_method,nb_genes,treatment_comment,pixel_size_um_embedded,pixel_size_um_estimated,magnification,fullres_px_width,fullres_px_height,tissue,disease_comment,subseries,hest_version_added
Characterization of immune cell populations in the tumor microenvironment of colorectal cancer using high definition spatial profiling,TENX147,TENX147.tif,Bowel,Cancer,COAD,Homo sapiens,Patient 1,Xenium,7/11/24,Creative Commons Attribution,https://www.biorxiv.org/content/10.1101/2024.06.04.597233v1.full,https://www.10xgenomics.com/products/visium-hd-spatial-gene-expression/dataset-human-crc,,,3997,FFPE,541,,0.27377537196148694,0.24970220990846967,40x,71082,66226,Colon,Stage IV-A ,"Xenium In Situ, Sample P5 CRC",v1_1_0
"Visium HD Spatial Gene Expression Library, Mouse Kidney (FFPE)",TENX146,TENX146.tif,Kidney,Healthy,,Mus musculus,,Visium HD,6/11/24,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-libraries-of-mouse-kidney,2,2,2098,FFPE,19059,,0.2645833333333333,0.2738623675884022,40x,26720,31062,Kidney,,,v1_1_0
"Visium HD Spatial Gene Expression Library, Mouse Embryo (FFPE)",TENX145,TENX145.tif,Embryo,Healthy,,Mus musculus,,Visium HD,6/11/24,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-libraries-of-mouse-embryo,2,2,1732,FFPE,19059,,0.2645833333333333,0.27379901990038497,40x,27634,24834,Embryo,,,v1_1_0
"Visium HD Spatial Gene Expression Library, Human Pancreas (FFPE)",TENX144,TENX144.tif,Pancreas,Healthy,,Homo sapiens,,Visium HD,6/11/24,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-libraries-human-pancreas,2,2,1848,FFPE,18085,,0.2645833333333333,0.27376380096016184,40x,51701,51420,Pancreas,,,v1_1_0
Preview Data: FFPE Human Lymph Node with 5K Pan Tissue and Pathways Panel,TENX143,TENX143.tif,Lymphoid,Diseased,,Homo sapiens,,Xenium,5/28/24,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/preview-data-xenium-prime-gene-expression,,,4889,FFPE,11094,,0.27377264370113896,0.273951371,40x,28915,30987,Lymph node (Left Axilla),Reactive Lymph Node,,v1_1_0
Nextflow Pipeline for Visium and H&E Data from Patient-Derived Xenograft Samples,ZEN81,ZEN81.tif,Skin,Cancer,MEL,Mus musculus,,Visium,21-May-24,Creative Commons Attribution 4.0 International,https://www.biorxiv.org/content/10.1101/2023.07.27.550727v1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE238004,100,55,4991,Fresh Frozen,68886,,0.2208187960959237,0.22080276739617732,40x,35392,36416,Skin,WM4237-1 melanoma PDX,"WM4237-1, mouse 1337, untreated, sample S1",v1_1_0
Nextflow Pipeline for Visium and H&E Data from Patient-Derived Xenograft Samples,ZEN80,ZEN80.tif,Skin,Cancer,MEL,Mus musculus,,Visium,21-May-24,Creative Commons Attribution 4.0 International,https://www.biorxiv.org/content/10.1101/2023.07.27.550727v1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE238004,100,55,4992,Fresh Frozen,68886,,0.2208187960959237,0.22037667368737773,40x,36096,36992,Skin,WM4237-1 melanoma PDX,"WM4237-1, mouse 1337, untreated, sample S2",v1_1_0
Nextflow Pipeline for Visium and H&E Data from Patient-Derived Xenograft Samples,ZEN79,ZEN79.tif,Skin,Cancer,MEL,Mus musculus,,Visium,21-May-24,Creative Commons Attribution 4.0 International,https://www.biorxiv.org/content/10.1101/2023.07.27.550727v1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE238004,100,55,4991,Fresh Frozen,68886,,0.2208187960959237,0.2208044411711794,40x,36288,36544,Skin,WM4237-1 melanoma PDX,"WM4237-1, mouse 1337, untreated, sample S3",v1_1_0
Nextflow Pipeline for Visium and H&E Data from Patient-Derived Xenograft Samples,ZEN78,ZEN78.tif,Skin,Cancer,MEL,Mus musculus,,Visium,21-May-24,Creative Commons Attribution 4.0 International,https://www.biorxiv.org/content/10.1101/2023.07.27.550727v1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE238004,100,55,4992,Fresh Frozen,68886,,0.2208187960959237,0.22076826914584308,40x,35904,36608,Skin,WM4237-1 melanoma PDX,"WM4237-1, mouse 1337, untreated, sample S4",v1_1_0
Image-based spatial transcriptomics identifies molecular niche dysregulation associated with distal lung remodeling in pulmonary fibrosis,NCBI884,NCBI884.tif,Lung,Healthy,,Homo sapiens,Patient 27,Xenium,23-Dec-23,,https://www.biorxiv.org/content/10.1101/2023.12.15.571954v2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250346,,,2504,FFPE,541,,0.2125000159375012,0.2125,40x,25630,28964,Lung,Control,THD0008,v1_1_0
Image-based spatial transcriptomics identifies molecular niche dysregulation associated with distal lung remodeling in pulmonary fibrosis,NCBI883,NCBI883.tif,Lung,Healthy,,Homo sapiens,Patient 28,Xenium,23-Dec-23,,https://www.biorxiv.org/content/10.1101/2023.12.15.571954v2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250346,,,1277,FFPE,541,,0.2125000159375012,0.2125,40x,17145,16597,Lung,Control,THD0011,v1_1_0
Image-based spatial transcriptomics identifies molecular niche dysregulation associated with distal lung remodeling in pulmonary fibrosis,NCBI882,NCBI882.tif,Lung,Diseased,,Homo sapiens,Patient 1,Xenium,23-Dec-23,,https://www.biorxiv.org/content/10.1101/2023.12.15.571954v2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250346,,,1435,FFPE,541,,0.2125000159375012,0.2125,40x,17141,20708,Lung,ILD More fibrotic,TILD117MF,v1_1_0
Image-based spatial transcriptomics identifies molecular niche dysregulation associated with distal lung remodeling in pulmonary fibrosis,NCBI881,NCBI881.tif,Lung,Diseased,,Homo sapiens,Patient 2,Xenium,23-Dec-23,,https://www.biorxiv.org/content/10.1101/2023.12.15.571954v2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250346,,,1392,FFPE,541,,0.2125000159375012,0.2125,40x,19973,16596,Lung,ILD Less fibrotic,TILD117LF,v1_1_0
Image-based spatial transcriptomics identifies molecular niche dysregulation associated with distal lung remodeling in pulmonary fibrosis,NCBI880,NCBI880.tif,Lung,Diseased,,Homo sapiens,Patient 3,Xenium,23-Dec-23,,https://www.biorxiv.org/content/10.1101/2023.12.15.571954v2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250346,,,1168,FFPE,541,,0.2125000159375012,0.2125,40x,17141,16594,Lung,IPF Intermediate,TILD175,v1_1_0
Image-based spatial transcriptomics identifies molecular niche dysregulation associated with distal lung remodeling in pulmonary fibrosis,NCBI879,NCBI879.tif,Lung,Healthy,,Homo sapiens,Patient 4,Xenium,23-Dec-23,,https://www.biorxiv.org/content/10.1101/2023.12.15.571954v2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250346,,,1017,FFPE,541,,0.2125000159375012,0.2125,40x,14312,16598,Lung,Control,VUHD069,v1_1_0
Image-based spatial transcriptomics identifies molecular niche dysregulation associated with distal lung remodeling in pulmonary fibrosis,NCBI876,NCBI876.tif,Lung,Healthy,,Homo sapiens,Patient 7,Xenium,23-Dec-23,,https://www.biorxiv.org/content/10.1101/2023.12.15.571954v2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250346,,,1062,FFPE,541,,0.2125000159375012,0.2125,40x,14301,16598,Lung,Control,VUHD116A,v1_1_0
Image-based spatial transcriptomics identifies molecular niche dysregulation associated with distal lung remodeling in pulmonary fibrosis,NCBI875,NCBI875.tif,Lung,Healthy,,Homo sapiens,Patient 7,Xenium,23-Dec-23,,https://www.biorxiv.org/content/10.1101/2023.12.15.571954v2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250346,,,999,FFPE,541,,0.2125000159375012,0.2125,40x,17132,12491,Lung,Control,VUHD116B,v1_1_0
Image-based spatial transcriptomics identifies molecular niche dysregulation associated with distal lung remodeling in pulmonary fibrosis,NCBI873,NCBI873.tif,Lung,Diseased,,Homo sapiens,Patient 9,Xenium,23-Dec-23,,https://www.biorxiv.org/content/10.1101/2023.12.15.571954v2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250346,,,1484,FFPE,541,,0.2125000159375012,0.2125,40x,17134,20714,Lung,IPF Less fibrotic,VUILD102LF,v1_1_0
Image-based spatial transcriptomics identifies molecular niche dysregulation associated with distal lung remodeling in pulmonary fibrosis,NCBI870,NCBI870.tif,Lung,Diseased,,Homo sapiens,Patient 12,Xenium,23-Dec-23,,https://www.biorxiv.org/content/10.1101/2023.12.15.571954v2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250346,,,1073,FFPE,541,,0.2125000159375012,0.2125,40x,17135,16593,Lung,IPF More fibrotic,VUILD105MF,v1_1_0
Image-based spatial transcriptomics identifies molecular niche dysregulation associated with distal lung remodeling in pulmonary fibrosis,NCBI867,NCBI867.tif,Lung,Diseased,,Homo sapiens,Patient 15,Xenium,23-Dec-23,,https://www.biorxiv.org/content/10.1101/2023.12.15.571954v2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250346,,,3499,FFPE,541,,0.2125000159375012,0.2125,40x,28462,33048,Lung,IPF Intermediate,VUILD106,v1_1_0
Image-based spatial transcriptomics identifies molecular niche dysregulation associated with distal lung remodeling in pulmonary fibrosis,NCBI866,NCBI866.tif,Lung,Diseased,,Homo sapiens,Patient 16,Xenium,23-Dec-23,,https://www.biorxiv.org/content/10.1101/2023.12.15.571954v2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250346,,,1604,FFPE,541,,0.2125000159375012,0.2125,40x,19966,20710,Lung,IPF More fibrotic,VUILD107MF,v1_1_0
Image-based spatial transcriptomics identifies molecular niche dysregulation associated with distal lung remodeling in pulmonary fibrosis,NCBI865,NCBI865.tif,Lung,Diseased,,Homo sapiens,Patient 17,Xenium,23-Dec-23,,https://www.biorxiv.org/content/10.1101/2023.12.15.571954v2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250346,,,3062,FFPE,541,,0.2125000159375012,0.2125,40x,28454,28935,Lung,CTD-ILD Intermediate,VUILD110,v1_1_0
Image-based spatial transcriptomics identifies molecular niche dysregulation associated with distal lung remodeling in pulmonary fibrosis,NCBI864,NCBI864.tif,Lung,Diseased,,Homo sapiens,Patient 18,Xenium,23-Dec-23,,https://www.biorxiv.org/content/10.1101/2023.12.15.571954v2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250346,,,2917,FFPE,541,,0.2125000159375012,0.2125,40x,25624,33047,Lung,cHP Intermediate,VUILD115,v1_1_0
Image-based spatial transcriptomics identifies molecular niche dysregulation associated with distal lung remodeling in pulmonary fibrosis,NCBI861,NCBI861.tif,Lung,Diseased,,Homo sapiens,Patient 21,Xenium,23-Dec-23,,https://www.biorxiv.org/content/10.1101/2023.12.15.571954v2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250346,,,1121,FFPE,541,,0.2125000159375012,0.2125,40x,17137,16596,Lung,IPAF More fibrotic,VUILD78MF,v1_1_0
Image-based spatial transcriptomics identifies molecular niche dysregulation associated with distal lung remodeling in pulmonary fibrosis,NCBI860,NCBI860.tif,Lung,Diseased,,Homo sapiens,Patient 22,Xenium,23-Dec-23,,https://www.biorxiv.org/content/10.1101/2023.12.15.571954v2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250346,,,1282,FFPE,541,,0.2125000159375012,0.2125,40x,19969,16597,Lung,IPAF Less fibrotic,VUILD78LF,v1_1_0
Image-based spatial transcriptomics identifies molecular niche dysregulation associated with distal lung remodeling in pulmonary fibrosis,NCBI859,NCBI859.tif,Lung,Diseased,,Homo sapiens,Patient 23,Xenium,23-Dec-23,,https://www.biorxiv.org/content/10.1101/2023.12.15.571954v2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250346,,,1116,FFPE,541,,0.2125000159375012,0.2125,40x,17140,16592,Lung,IPF More fibrotic,VUILD91MF,v1_1_0
Image-based spatial transcriptomics identifies molecular niche dysregulation associated with distal lung remodeling in pulmonary fibrosis,NCBI858,NCBI858.tif,Lung,Diseased,,Homo sapiens,Patient 24,Xenium,23-Dec-23,,https://www.biorxiv.org/content/10.1101/2023.12.15.571954v2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250346,,,837,FFPE,541,,0.2125000159375012,0.2125,40x,14306,12484,Lung,IPF Less fibrotic,VUILD91LF,v1_1_0
Image-based spatial transcriptomics identifies molecular niche dysregulation associated with distal lung remodeling in pulmonary fibrosis,NCBI857,NCBI857.tif,Lung,Diseased,,Homo sapiens,Patient 25,Xenium,23-Dec-23,,https://www.biorxiv.org/content/10.1101/2023.12.15.571954v2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250346,,,1767,FFPE,541,,0.2125000159375012,0.2125,40x,19964,24815,Lung,Sarcoidosis More fibrotic,VUILD96MF,v1_1_0
Image-based spatial transcriptomics identifies molecular niche dysregulation associated with distal lung remodeling in pulmonary fibrosis,NCBI856,NCBI856.tif,Lung,Diseased,,Homo sapiens,Patient 26,Xenium,23-Dec-23,,https://www.biorxiv.org/content/10.1101/2023.12.15.571954v2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250346,,,1607,FFPE,541,,0.2125000159375012,0.2125,40x,17136,24809,Lung,Sarcoidosis Less fibrotic,VUILD96LF,v1_1_0
Spatially resolved multiomics of human cardiac niches,MISC142,MISC142.tif,Heart,Healthy,,Homo sapiens,   ,Visium,,Creative Commons Attribution 4.0 International,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,100,55,1302,Fresh Frozen,33538,,31.7500635,0.45495886534339214,40x,18063,18100,right cardiac atrium,,HCAHeartST10238251,v1_1_0
Spatially resolved multiomics of human cardiac niches,MISC141,MISC141.tif,Heart,Healthy,,Homo sapiens,   ,Visium,,Creative Commons Attribution 4.0 International,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,100,55,1702,Fresh Frozen,33538,,31.7500635,0.455062497,40x,17890,18098,left cardiac atrium,,HCAHeartST10238252,v1_1_0
Spatially resolved multiomics of human cardiac niches,MISC140,MISC140.tif,Heart,Healthy,,Homo sapiens,   ,Visium,,Creative Commons Attribution 4.0 International,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,100,55,2168,Fresh Frozen,33538,,31.7500635,0.4552351838908369,40x,17802,18044,apical region of left ventricle,,HCAHeartST10238253,v1_1_0
Spatially resolved multiomics of human cardiac niches,MISC139,MISC139.tif,Heart,Healthy,,Homo sapiens,   ,Visium,,Creative Commons Attribution 4.0 International,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,100,55,2562,Fresh Frozen,33538,,31.7500635,0.45558086560364464,40x,17634,17674,heart right ventricle,,HCAHeartST10550730,v1_1_0
Spatially resolved multiomics of human cardiac niches,MISC138,MISC138.tif,Heart,Healthy,,Homo sapiens,   ,Visium,,Creative Commons Attribution 4.0 International,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,100,55,2199,Fresh Frozen,33538,,31.7500635,0.4554863862466527,40x,17532,17473,interventricular septum,,HCAHeartST10550732,v1_1_0
Spatially resolved multiomics of human cardiac niches,MISC136,MISC136.tif,Heart,Healthy,,Homo sapiens,   ,Visium,,Creative Commons Attribution 4.0 International,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,100,55,2090,Fresh Frozen,33538,,31.7500635,0.44182190263152515,40x,17955,18186,atrioventricular node,,HCAHeartST11290657,v1_1_0
Spatially resolved multiomics of human cardiac niches,MISC135,MISC135.tif,Heart,Healthy,,Homo sapiens,   ,Visium,,Creative Commons Attribution 4.0 International,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,100,55,2697,Fresh Frozen,33538,,31.7500635,0.4418630963595568,40x,17753,18250,atrioventricular node,,HCAHeartST11290658,v1_1_0
Spatially resolved multiomics of human cardiac niches,MISC134,MISC134.tif,Heart,Healthy,,Homo sapiens,   ,Visium,,Creative Commons Attribution 4.0 International,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,100,55,2338,Fresh Frozen,33538,,31.7500635,0.44172214545650673,40x,17772,18231,atrioventricular node,,HCAHeartST11290659,v1_1_0
Spatially resolved multiomics of human cardiac niches,MISC133,MISC133.tif,Heart,Healthy,,Homo sapiens,   ,Visium,,Creative Commons Attribution 4.0 International,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,100,55,3153,Fresh Frozen,33538,,31.7500635,0.44213403673601454,40x,17826,18163,atrioventricular node,,HCAHeartST11290662,v1_1_0
Spatially resolved multiomics of human cardiac niches,MISC132,MISC132.tif,Heart,Healthy,,Homo sapiens,   ,Visium,,Creative Commons Attribution 4.0 International,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,100,55,2843,Fresh Frozen,33538,,31.7500635,0.44247739482214504,40x,17861,18159,interventricular septum,,HCAHeartST11350375,v1_1_0
Spatially resolved multiomics of human cardiac niches,MISC131,MISC131.tif,Heart,Healthy,,Homo sapiens,   ,Visium,,Creative Commons Attribution 4.0 International,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,100,55,2807,Fresh Frozen,33538,,31.7500635,0.44247625846325933,40x,17721,18204,atrioventricular node,,HCAHeartST11350377,v1_1_0
Spatially resolved multiomics of human cardiac niches,MISC130,MISC130.tif,Heart,Healthy,,Homo sapiens,   ,Visium,,Creative Commons Attribution 4.0 International,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,100,55,3533,FFPE,17922,,31.7500635,0.4553732173362386,40x,17222,17629,sinoatrial node,,HCAHeartST11702008,v1_1_0
Spatially resolved multiomics of human cardiac niches,MISC129,MISC129.tif,Heart,Healthy,,Homo sapiens,   ,Visium,,Creative Commons Attribution 4.0 International,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,100,55,3533,FFPE,17922,,31.7500635,0.4553732173362386,40x,17243,17604,sinoatrial node,,HCAHeartST11702009,v1_1_0
Spatially resolved multiomics of human cardiac niches,MISC128,MISC128.tif,Heart,Healthy,,Homo sapiens,   ,Visium,,Creative Commons Attribution 4.0 International,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,100,55,3982,FFPE,17922,,31.7500635,0.45506244022130304,40x,17424,17709,sinoatrial node,,HCAHeartST11702010,v1_1_0
Spatially resolved multiomics of human cardiac niches,MISC127,MISC127.tif,Heart,Healthy,,Homo sapiens,   ,Visium,,Creative Commons Attribution 4.0 International,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,100,55,3802,Fresh Frozen,33538,,31.7500635,0.503460189,20x,15610,16028,sinoatrial node,,HCAHeartST12992072,v1_1_0
Spatially resolved multiomics of human cardiac niches,MISC126,MISC126.tif,Heart,Healthy,,Homo sapiens,   ,Visium,,Creative Commons Attribution 4.0 International,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,100,55,4521,Fresh Frozen,33538,,31.7500635,0.5032456325843153,20x,15829,16103,atrioventricular node,,HCAHeartST12992074,v1_1_0
Spatially resolved multiomics of human cardiac niches,MISC125,MISC125.tif,Heart,Healthy,,Homo sapiens,   ,Visium,,Creative Commons Attribution 4.0 International,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,100,55,3478,Fresh Frozen,33538,,31.7500635,0.5033545976382061,20x,15987,16236,atrioventricular node,,HCAHeartST12992075,v1_1_0
Spatially resolved multiomics of human cardiac niches,MISC124,MISC124.tif,Heart,Healthy,,Homo sapiens,   ,Visium,,Creative Commons Attribution 4.0 International,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,100,55,2942,Fresh Frozen,33538,,63.500127,0.5999988,20x,12997,13330,atrioventricular node,,HCAHeartST13228103,v1_1_0
Spatially resolved multiomics of human cardiac niches,MISC123,MISC123.tif,Heart,Healthy,,Homo sapiens,   ,Visium,,Creative Commons Attribution 4.0 International,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,100,55,2852,Fresh Frozen,33538,,63.500127,0.6048387096774194,20x,13207,13435,sinoatrial node,,HCAHeartST13228105,v1_1_0
Spatially resolved multiomics of human cardiac niches,MISC122,MISC122.tif,Heart,Healthy,,Homo sapiens,   ,Visium,,Creative Commons Attribution 4.0 International,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,100,55,3430,Fresh Frozen,33538,,63.500127,0.6036217303822938,20x,13077,13548,sinoatrial node,,HCAHeartST13228106,v1_1_0
Spatially resolved multiomics of human cardiac niches,MISC121,MISC121.tif,Heart,Healthy,,Homo sapiens,   ,Visium,,Creative Commons Attribution 4.0 International,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,100,55,3052,Fresh Frozen,33538,,63.500127,0.6044618499202218,20x,13152,13471,sinoatrial node,,HCAHeartST13233996,v1_1_0
Spatially resolved multiomics of human cardiac niches,MISC120,MISC120.tif,Heart,Healthy,,Homo sapiens,   ,Visium,,Creative Commons Attribution 4.0 International,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,100,55,3400,Fresh Frozen,33538,,63.500127,0.6714515629565712,20x,11774,11965,sinoatrial node,,HCAHeartST13233997,v1_1_0
Spatially resolved multiomics of human cardiac niches,MISC119,MISC119.tif,Heart,Healthy,,Homo sapiens,   ,Visium,,Creative Commons Attribution 4.0 International,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,100,55,3448,Fresh Frozen,33538,,63.500127,0.604180073,20x,13211,13590,sinoatrial node,,HCAHeartST13233998,v1_1_0
